たんご,Transkribering,漢字,意味,品詞,課
せんせい,sensei,先生,lärare,substantiv,はかせ１
だいがく,daigaku,大学,universitet,substantiv,はかせ１
せんもん,senmon,専門,specialitet,substantiv,はかせ１
がくせい,gakusei,学生,student,substantiv,はかせ１
わたし,watashi,私,(Jag/mig/min),substantiv,はかせ１
けいたい,keitai,携帯,mobil,substantiv,はかせ１
けんきゅういん,kenkyuin,研究員,forskare,substantiv,はかせ１
しゅみ,shumi,趣味,hobby,substantiv,はかせ１
けんきゅうしつ,kenkyushitstsu,研究室,labb,substantiv,はかせ１
りゅうがくせい,ryugakusei,留学生,utbytesstudent,substantiv,はかせ１
にほんじん,Nihon-jin,日本人,japan,substantiv,はかせ１
こうがく,kogaku,工学,teknologi,substantiv,はかせ１
かがく,kagaku,化学,kemi,substantiv,はかせ１
おんがく,ongaku,音楽,musik,substantiv,はかせ１
りょこう,ryokou,旅行,resa,substantiv,はかせ１
じゅうしょ,jusho,住所,adress,substantiv,はかせ２
くに,kuni,国,land/nation,substantiv,はかせ２
ぎゅうにゅう,gyunu,牛乳,mjölk,substantiv,はかせ２
こーひー,kohii,コーヒー,kaffe,substantiv,はかせ２
いくら,ikura,,hur mycket (kostar),frågeord,はかせ２
なまえ,namae,名前,namn,substantiv,はかせ２
おげんきですか,O-genkideska,お元気ですか,hur står det till?,hälsning,はかせ２
すみません,sumimasen,,ursäkt/förlåt,hälsning,はかせ２
はじめまして,Hajimemeshite,初めまして,(nice to meet you),hälsning,はかせ２
いただきます,itadakimasu,,tack (före maten),hälsning,はかせ２
ごちそうさまでした,Gochiosama,,tack för maten,hälsning,はかせ２
さようなら,sayonara,,Adjö/vi ses,hälsning,はかせ２
どこ,doko,,var,frågeord,はかせ２
あなた,anata,,(du/dig/din),pronomen,はかせ２
もういちどおねがいします,mo ichido onegai-shimasu,,"en gång till, tack",hälsning,はかせ２
さかな,sakana,魚,fisk,substantiv,はかせ３
さいふ,saifu,財布,plånbok,substantiv,はかせ３
おちゃ,ocha,お茶,te,substantiv,はかせ３
