かんじ,betydelse,くん読み,おん読み,lektion 
人,människa,ひと,にん/じん,6
私,(jag),わたし,し,6
日,sol,ひ,にち,6
本,grund,もと,ほん,6
大,stor,おお（きい）,だい,6
学,lära,まな,がく,6
先,före,さき,せん,6
生,leva,い,せい,6
一,1,,いち,7
二,2,,にん,7
三,3,,さん,7
四,4,,しよん,7
五,5,,ご,7
六,6,,ろく,7
七,7,なな,しち,7
八,8,,なち,8
九,9,,きゅう,8
十,10,,じゅう,8
百,100,,ひゃく,8
千,1000,,せん,8
万,10000,,まん,8
円,cirkel,,えん,8
飲,dricka,の（む）,いん,9
食,äta,た（べる）,しょく,9
見,titta,み（る）,けん,9
読,läsa,よ（む）,どく,9
工,teknik,,こう,9
何,vad,なに/なん,,9
化,förvandla,ば（ける）,か,9
時,tid,とき,じゅう,10
分,dela/minut,わ（ける）,ふん,10
買,köpa,か（う）,ばい,10
聞,lyssna,き（く）,ぶん,10
水,vatten,みず,すい,10
科,delning,,か,10
数,siffra,かず,すう,10
行,gå,い（く）,こう/ぎょう,11
来,komma,く（る）,らい,11
車,vagn,くるま,しゃ,11
話,samtal,はなし,わ,11
番,nummer,,ばん,11
号,titel,,ごう,11
院,Institution,,いん,11
物,sak,もの,ぶつ,12
理,logik,,り,12
電,elektricitet,,でん,12
子,barn,こ,し,12
研,polera,,けん,12
究,forskning,,きゅう,12
留,stanna,とど（まる）,りゅう,12
